"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
918,"D11-X9",NA,NA,NA,NA,NA,0.42,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d.l.","61","13.4","73",NA,NA,NA,"32.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,4.64,5.14,"0.753","3.43",0.776,0.81,1.41,"0.261",2.34,"0.744",2.85,0.462,3.36,0.617,0.01,41,"Hydrothermal Marine Ferromanganese oxides","oxide","oxide","Pacific and Indian oceans",NA,"bulk XRF, XANES, EXAFS",NA,"D11-X9",NA,NA
919,"D12-X2",NA,NA,NA,NA,NA,0.08,NA,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46","119","4.6","54.5",NA,NA,NA,"12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56",NA,NA,NA,4.24,6.59,"0.791","3.68",0.773,0.18,1.08,"0.18",1.38,"0.37",1.32,0.211,1.6,0.269,0,41,"Hydrothermal Marine Ferromanganese oxides","oxide","oxide","Pacific and Indian oceans",NA,"bulk XRF, XANES, EXAFS",NA,"D12-X2",NA,NA
920,"D21-103",NA,NA,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"176","295","62.5","26",NA,NA,NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,0.661,0.213,"0.0839","0.454",0.059,0.0207,0.103,"0.016",0.133,"0.0393",0.127,0.0204,0.152,0.0259,NA,41,"Hydrothermal Marine Ferromanganese oxides","oxide","oxide","Pacific and Indian oceans",NA,"bulk XRF, XANES, EXAFS",NA,"D21-103",NA,NA
921,"1",NA,NA,NA,NA,NA,29.92,NA,1.22,0.55,"1.5","0.067","0.04",NA,NA,NA,NA,NA,NA,NA,33.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"252","101","45","163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.52,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"1","Freshwater","Freshwater"
922,"2",NA,NA,NA,NA,NA,16.22,NA,2.04,0.63,"1.4","0.058","0.05",NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"168","143","72","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"2","Freshwater","Freshwater"
923,"3",NA,NA,NA,NA,NA,20.52,NA,4.88,0.63,"1.4","0.088","0.12",NA,NA,NA,NA,NA,NA,NA,27.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"274","174","100","184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"3","Freshwater","Freshwater"
924,"3",NA,NA,NA,NA,NA,17.17,NA,8.29,0.36,"1.2","0.593","0.05",NA,NA,NA,NA,NA,NA,NA,27.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"268","146","49","185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"3","Freshwater","Freshwater"
925,"3",NA,NA,NA,NA,NA,11.63,NA,16.51,0.71,"1.83","0.085","0.11",NA,NA,NA,NA,NA,NA,NA,30.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"266","315","58","314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"3","Freshwater","Freshwater"
926,"4",NA,NA,NA,NA,NA,6.4,NA,21.68,0.66,"3.47","0.08","0.07",NA,NA,NA,NA,NA,NA,NA,32.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"273","571","74","595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"4","Freshwater","Freshwater"
927,"5",NA,NA,NA,NA,NA,23.34,NA,2.5,0.55,"0.9","0.061","0.07",NA,NA,NA,NA,NA,NA,NA,27.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","125","50","109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.34,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"5","Freshwater","Freshwater"
928,"6",NA,NA,NA,NA,NA,39.45,NA,0.85,0.28,"0.99","0.089","0.03",NA,NA,NA,NA,NA,NA,NA,41.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"179","126","66","207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.41,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"6","Freshwater","Freshwater"
929,"7(2)",NA,NA,NA,NA,NA,21.78,NA,10.24,1.53,"3.57","0.046","0.15",NA,NA,NA,NA,NA,NA,NA,37.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170","122","49","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"7(2)","Freshwater","Freshwater"
930,"8",NA,NA,NA,NA,NA,6.77,NA,6.81,1.08,"1.11","0.047","0.24",NA,NA,NA,NA,NA,NA,NA,16.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","176","40","176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"8","Freshwater","Freshwater"
931,"9",NA,NA,NA,NA,NA,28.55,NA,4.54,0.43,"1.3","0.054","0.04",NA,NA,NA,NA,NA,NA,NA,34.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","100","38","151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"9","Freshwater","Freshwater"
932,"9",NA,NA,NA,NA,NA,30.1,NA,4.54,0.3,"2.17","0.027","0.02",NA,NA,NA,NA,NA,NA,NA,37.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"151","136","38","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"9","Freshwater","Freshwater"
933,"10",NA,NA,NA,NA,NA,35.39,NA,1.13,0.36,"1.18","0.046","0.04",NA,NA,NA,NA,NA,NA,NA,38.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99","172","54","153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.32,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"10","Freshwater","Freshwater"
934,"11",NA,NA,NA,NA,NA,19.9,NA,15.76,0.51,"1.46","0.067","0.08",NA,NA,NA,NA,NA,NA,NA,37.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224","473","50","338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"11","Freshwater","Freshwater"
935,"12",NA,NA,NA,NA,NA,23.77,NA,9.68,0.32,"1.69","0.054","0.07",NA,NA,NA,NA,NA,NA,NA,35.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"173","282","49","252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"12","Freshwater","Freshwater"
936,"13",NA,NA,NA,NA,NA,25.71,NA,9.95,0.51,"1.4","0.067","0.07",NA,NA,NA,NA,NA,NA,NA,37.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224","323","55","378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"13","Freshwater","Freshwater"
937,"14",NA,NA,NA,NA,NA,36.91,NA,1.02,0.22,"0.84","0.053","0.02",NA,NA,NA,NA,NA,NA,NA,39.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"197","222","54","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.19,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"14","Freshwater","Freshwater"
938,"15",NA,NA,NA,NA,NA,30.64,NA,2.27,0.9,"1.86","0.088","0.04",NA,NA,NA,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225","200","75","501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"15","Freshwater","Freshwater"
939,"16",NA,NA,NA,NA,NA,24.36,NA,1.93,0.73,"1.76","0.08","0.13",NA,NA,NA,NA,NA,NA,NA,28.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"197","72","59","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.62,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"16","Freshwater","Freshwater"
940,"17",NA,NA,NA,NA,NA,25.19,NA,11.42,0.56,"2.29","0.053","0.04",NA,NA,NA,NA,NA,NA,NA,39.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"251","338","53","309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"17","Freshwater","Freshwater"
941,"18",NA,NA,NA,NA,NA,32.16,NA,4.55,0.36,"1.4","0.061","0.06",NA,NA,NA,NA,NA,NA,NA,38.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201","151","38","243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"18","Freshwater","Freshwater"
942,"19",NA,NA,NA,NA,NA,12.29,NA,12.98,0.58,"2.06","0.086","0.07",NA,NA,NA,NA,NA,NA,NA,28.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"249","838","54","456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"19","Freshwater","Freshwater"
943,"20",NA,NA,NA,NA,NA,10.29,NA,4.74,0.4,"1.08","0.121","0.13",NA,NA,NA,NA,NA,NA,NA,16.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149","249","50","319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"20","Freshwater","Freshwater"
944,"21",NA,NA,NA,NA,NA,13.8,NA,3.86,0.98,"3.99","0.224","0.05",NA,NA,NA,NA,NA,NA,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149","474","65","703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"21","Freshwater","Freshwater"
945,"22",NA,NA,NA,NA,NA,11.78,NA,2.17,0.17,"0.67","0.02","0.06",NA,NA,NA,NA,NA,NA,NA,14.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","125","37","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"22","Freshwater","Freshwater"
946,"23",NA,NA,NA,NA,NA,11.26,NA,3.42,0.17,"0.63","0.02","0.02",NA,NA,NA,NA,NA,NA,NA,15.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"178","150","37","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"23","Freshwater","Freshwater"
947,"24",NA,NA,NA,NA,NA,15.42,NA,13.74,0.6,"2.1","0.019","0.13",NA,NA,NA,NA,NA,NA,NA,32.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250","200","55","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"24","Freshwater","Freshwater"
948,"25",NA,NA,NA,NA,NA,21.67,NA,2.11,1.44,"4.52","0.066","0.06",NA,NA,NA,NA,NA,NA,NA,29.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","221","69","182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.27,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"25","Freshwater","Freshwater"
949,"26",NA,NA,NA,NA,NA,20.59,NA,5.6,1.19,"2.57","0.08","0.07",NA,NA,NA,NA,NA,NA,NA,30.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"298","696","2180","1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"26","Freshwater","Freshwater"
950,"27",NA,NA,NA,NA,NA,16.92,NA,6.62,0.85,"1.89","0.121","0.04",NA,NA,NA,NA,NA,NA,NA,26.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250","902","1850","1490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"27","Freshwater","Freshwater"
951,"28",NA,NA,NA,NA,NA,21.31,NA,1.38,0.5,"0.52","0.027","0.02",NA,NA,NA,NA,NA,NA,NA,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","123","39","81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.44,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"28","Freshwater","Freshwater"
952,"29(3)",NA,NA,NA,NA,NA,NA,NA,0.49,0.58,"0.35","0.047","0.02",NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","100","40","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"29(3)","Freshwater","Freshwater"
953,"29",NA,NA,NA,NA,NA,NA,NA,0.35,0.53,"0.25","0.053","0.03",NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148","99","49","148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"29","Freshwater","Freshwater"
954,"6 low",NA,NA,NA,NA,NA,14.2,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,NA,NA,NA,"100",NA,"7700",NA,4.76,"0.64",NA,NA,"41.5",NA,"1.21","43","0.3",NA,229,NA,NA,NA,NA,NA,"0.62",NA,"0.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,"0.97",23.4,67,NA,NA,8.12,0.84,NA,NA,NA,NA,NA,NA,NA,NA,1.65,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"6 low","Freshwater","Freshwater"
955,"6 high",NA,NA,NA,NA,NA,18.1,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,NA,NA,NA,"100",NA,"17200",NA,5.43,"1.39",NA,NA,"44.4",NA,"4.95","87","0.36",NA,345,NA,NA,NA,NA,NA,"1.43",NA,"1.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.11",25.6,67,NA,NA,8.78,0.96,NA,NA,NA,NA,NA,NA,NA,NA,1.76,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"6 high","Freshwater","Freshwater"
956,"2 low",NA,NA,NA,NA,NA,7.7,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,"100",NA,"8590",NA,2.49,"0.55",NA,NA,"70.1",NA,"9.94","133","1.28",NA,143,NA,NA,NA,NA,NA,"1.92",NA,"0.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,"1.41",36.3,60,NA,NA,8.49,1.18,NA,NA,NA,NA,NA,NA,NA,NA,0.79,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"2 low","Freshwater","Freshwater"
957,"2 high",NA,NA,NA,NA,NA,10.5,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,NA,NA,NA,"100",NA,"22200",NA,16.7,"1.78",NA,NA,"74.8",NA,"14.3","227","2",NA,184,NA,NA,NA,NA,NA,"2.41",NA,"6.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,"2.02",64.5,217,NA,NA,22.4,2.32,NA,NA,NA,NA,NA,NA,NA,NA,0.67,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"2 high","Freshwater","Freshwater"
958,"43",NA,NA,NA,NA,NA,15.2,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,NA,NA,NA,"100",NA,"5580",NA,4.64,"0.68",NA,NA,"30.6",NA,"5.65","85","0.59",NA,138,NA,NA,NA,NA,NA,"0.81",NA,"1.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,"1.33",22.2,55,NA,NA,7.53,0.88,NA,NA,NA,NA,NA,NA,NA,NA,4.34,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"43","Freshwater","Freshwater"
959,"11",NA,NA,NA,NA,NA,2.53,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.83,NA,NA,NA,"100",NA,"3380",NA,4.9,"0.54",NA,NA,"67.2",NA,"3.46","284","0.85",NA,52,NA,NA,NA,NA,NA,"10.5",NA,"2.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,"1.08",50.3,265,NA,NA,11.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0.22,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"11","Freshwater","Freshwater"
960,"37",NA,NA,NA,NA,NA,5.1,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,"100",NA,"4250",NA,10,"0.38",NA,NA,"86.4",NA,"14.7","261","0.63",NA,129,NA,NA,NA,NA,NA,"6.54",NA,"1.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,"1.01",71.6,271,NA,NA,15.8,1.78,NA,NA,NA,NA,NA,NA,NA,NA,0.45,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"37","Freshwater","Freshwater"
961,"35",NA,NA,NA,NA,NA,9.94,NA,8.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.17,NA,NA,NA,"100",NA,"4690",NA,11.3,"0.17",NA,NA,"82.3",NA,"7.63","241",NA,NA,173,NA,NA,NA,NA,NA,"2.8",NA,"1.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,"0.8",62.9,194,NA,NA,20,2.44,NA,NA,NA,NA,NA,NA,NA,NA,1.21,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"35","Freshwater","Freshwater"
962,"4",NA,NA,NA,NA,NA,2.76,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,NA,NA,NA,"100",NA,"310",NA,1.2,"0.18",NA,NA,"11.5",NA,"7.5","44.5","0.11",NA,31,NA,NA,NA,NA,NA,"1.09",NA,"0.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,"0.16",5.85,NA,NA,NA,2,0.26,NA,NA,NA,NA,NA,NA,NA,NA,1.78,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"4","Freshwater","Freshwater"
963,"9",NA,NA,NA,NA,NA,3.56,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66,NA,NA,NA,"100",NA,"1690",NA,2.36,"0.32",NA,NA,"46.6",NA,"11.1","108","0.64",NA,59,NA,NA,NA,NA,NA,"3.93",NA,"1.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,"0.54",12.4,24,NA,NA,2.76,0.35,NA,NA,NA,NA,NA,NA,NA,NA,1.15,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"9","Freshwater","Freshwater"
964,"18",NA,NA,NA,NA,NA,3.17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,NA,NA,NA,"100",NA,"926",NA,1.24,"0.61",NA,NA,"19.8",NA,"9.81","30","0.58",NA,26,NA,NA,NA,NA,NA,"1.28",NA,"0.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,"0.41",9.07,NA,NA,NA,2.91,2.59,NA,NA,NA,NA,NA,NA,NA,NA,3.17,44,"Lacustrine nodules",NA,NA,"Lake Michigan",NA,NA,NA,"18","Freshwater","Freshwater"
