"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
4947,"Fogo","45.4",0.95,9.1,NA,20.1,15.62,"0.16",0.12,7,"8.2","3.02","0.25",NA,NA,NA,NA,NA,NA,NA,94.18,"21.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4948,"Fogo","47.4",0.75,6.6,NA,18.1,14.07,"0.2",0.15,9,"10.6","2.02","0.31",NA,NA,NA,NA,NA,NA,NA,94.98,"18.8",NA,"27.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4949,"Fogo","43.5",0.84,9.9,NA,18.9,14.69,"0.16",0.12,8.2,"7.5","2.76","0.39",NA,NA,NA,NA,NA,NA,NA,92.15,"17.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4950,"Fogo","46.4",0.94,16.4,NA,18.5,14.38,"0.13",0.1,6,"7.8","3.52","0.35",NA,NA,NA,NA,NA,NA,NA,100.04,"17.3",NA,NA,"2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4951,"Fogo","44.4",1.04,9,NA,19.8,15.39,"0.13",0.1,7.5,"4.8","3.35","0.82",NA,NA,NA,NA,NA,NA,NA,90.84,"16",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4952,"Fogo","47.1",0.81,9.1,NA,18.2,14.15,"0.16",0.12,9,"7.7","3.22","0.33",NA,NA,NA,NA,NA,NA,NA,95.62,"18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4953,"Fogo","46.3",0.95,13.4,NA,19.6,15.24,"0.14",0.11,6.8,"6.7","2.97","0.25",NA,NA,NA,NA,NA,NA,NA,97.11,"14.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4954,"Fogo","44.3",0.93,11.2,NA,19.4,15.08,"0.14",0.11,7,"6.6","3.98","0.52",NA,NA,NA,NA,NA,NA,NA,94.07,"22.8",NA,"86.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4955,"Fogo","47.4",0.84,6.2,NA,20.1,15.62,"0.18",0.14,13.4,"5.3","2.33","0.16",NA,NA,NA,NA,NA,NA,NA,95.91,"2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Fogo","Gale crater","Gale crater"
4956,"Cola","47.1",0.9,9.3,NA,20.2,15.7,"0.18",0.14,11.7,"4.8","2.88","0.36",NA,NA,NA,NA,NA,NA,NA,97.42,"17.7",NA,"36.5","134.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gale crater, Mars",NA,NA,NA,"Cola","Gale crater","Gale crater"
