Number,Sample,SiO2 (%),TiO2,Al2O3,Fe2O3,FeO,Fe,MnO,Mn,MgO,CaO,Na2O,K2O,P2O5,SO3,C,CO2,LOI,H2O,Cl,Total,Li,Be,Rb,Sr,Cs,Ba,B,Br,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Te,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Fe/Mn,Ref,Type,Fe_species,Mn_species,Locality,Age,method,Notes
374,62-2,,,,,,0.51,,38.69,3.15,2.14,1.3,,,,,,,,,,,,,422,,4008,,,,,,96,8401,3405,1333,,,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
375,62-4,,,,,,0.81,,37.48,3.09,1.94,0.45,,,,,,,,,,,,,441,,4047,,,,,,97,7502,4805,1198,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
376,63-1,,,,,,1.99,,30.7,1.82,2.62,0.39,,,,,,,,,,,,,434,,889,,,,,,135,9064,3675,1683,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
377,106-1,,,,,,1.96,,31.53,2.08,2.7,0.33,,,,,,,,,,,,,422,,946,,,,,,131,13067,5119,1971,,,,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
378,156-1,,,,,,2.77,,25.4,2.23,3.27,0.38,,,,,,,,,,,,,577,,2249,,,,,,326,14077,6911,1533,,,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
379,156-3,,,,,,1.11,,35.76,2.46,2.28,0.39,,,,,,,,,,,,,405,,2798,,,,,,258,10281,5409,1257,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
380,156-4,,,,,,1.28,,32.23,2.15,2.25,0.33,,,,,,,,,,,,,383,,1379,,,,,,166,10068,4166,1352,,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
381,2-Oct,,,,,,4.72,,23.26,1.67,3.54,0.3,,,,,,,,,,,,,853,,1248,,,,,,344,10359,3386,1160,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
382,22-2,,,,,,7.43,,18.39,1.51,3.72,0.62,,,,,,,,,,,,,1200,,1170,,,,,,7127,3576,253,495,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
383,106-2,,,,,,3.44,,25.55,2.25,3.41,0.35,,,,,,,,,,,,,702,,1620,,,,,,294,12646,5913,1630,,,,,,,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
384,143-8,,,,,,4.98,,22.97,2.59,3.09,0.85,,,,,,,,,,,,,830,,1616,,,,,,1298,13400,5353,877,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
385,145-1,,,,,,7.93,,17.77,1.37,3.58,0.59,,,,,,,,,,,,,1150,,1215,,,,,,1520,3450,1027,482,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
386,145-2,,,,,,7.31,,18.01,1.32,3.51,0.57,,,,,,,,,,,,,1121,,1337,,,,,,1485,3860,1160,460,,,,,,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
387,145-3,,,,,,9.11,,15.82,1.39,3.58,0.64,,,,,,,,,,,,,1202,,1584,,,,,,1347,2636,1218,526,,,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
388,156-2,,,,,,3.61,,22.44,3.6,2.62,0.48,,,,,,,,,,,,,515,,2745,,,,,,664,13128,10103,911,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
389,177-1,,,,,,3.58,,22.37,2.86,3.4,0.46,,,,,,,,,,,,,619,,2347,,,,,,327,12157,6415,1093,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
390,33-1,,,,,,2.12,,27.52,3.27,1.96,0.41,,,,,,,,,,,,,663,,2786,,,,,,1218,12999,11562,1430,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
391,33-2,,,,,,1.41,,32.56,3.21,1.75,0.51,,,,,,,,,,,,,575,,4849,,,,,,537,8198,8246,974,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
392,33-3,,,,,,0.33,,40.5,1.95,1.86,0.32,,,,,,,,,,,,,253,,2070,,,,,,38,4982,2004,932,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
393,52-1,,,,,,3.39,,27.13,2.3,3.34,0.34,,,,,,,,,,,,,663,,1741,,,,,,251,12940,6332,1699,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
394,53-1,,,,,,2.39,,27.82,3.77,1.96,0.45,,,,,,,,,,,,,569,,3397,,,,,,987,8665,10832,1117,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
395,62-5,,,,,,0.43,,38.23,1.53,1.72,0.27,,,,,,,,,,,,,231,,1825,,,,,,49,4836,2104,858,,,,,,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
396,64-1,,,,,,0.62,,37.36,1.77,2.01,0.33,,,,,,,,,,,,,289,,1937,,,,,,68,5710,2443,1183,,,,,,,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
397,64-2,,,,,,2.27,,24.93,3.17,1.89,0.45,,,,,,,,,,,,,560,,3787,,,,,,1150,12197,11890,1309,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
398,64-3,,,,,,1.13,,35.83,3.43,1.41,0.51,,,,,,,,,,,,,608,,6655,,,,,,319,4479,4708,782,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
399,4-Oct,,,,,,9.01,,16.02,1.86,2.81,0.36,,,,,,,,,,,,,961,,2467,,,,,,284,3928,2253,907,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
400,108-1,,,,,,3.09,,15.63,4.54,2.1,0.59,,,,,,,,,,,,,962,,17849,,,,,,438,6101,5736,753,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
401,177-2,,,,,,8.56,,18.32,1.88,3.36,0.3,,,,,,,,,,,,,1133,,2190,,,,,,493,4490,3217,679,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,27,deep marine diagenetic nodules,oxide,oxide,Peru Basin,,,
402,BCG-A,43.25,,10.11,29.18,,20.41,2.05,1.59,0.07,0.7,2.49,1.98,0.09,,,,,,,89.92,,,,,,,,,,,33,105,54,145,127,,,117,,,,,,1,,,,,,,,,,87,,,,,,,,,,,,,,,,,,12.84,15,Authigenic concretions,oxide,oxide,"Clearwater Lake, Sudbury, Canada",,"whole rock XRD, EDS",concretion+nucleus
403,BCG-B,15.53,,4.23,57.93,,40.52,3.99,3.09,0.1,0.13,0.18,0.13,0.07,,,,,,,82.29,,,,,,,,,,,52,229,167,389,409,,,283,,,,,,1.2,,,,,,,,,,185,,,,,,,,,,,,,,,,,,13.11,15,Authigenic concretions,oxide,oxide,"Clearwater Lake, Sudbury, Canada",,"whole rock XRD, EDS","silty sediments, ellipsoidal with sand grain as nucleus"
404,BCG-C,4.73,,4.1,63.01,,44.07,6.04,4.68,0.15,0.14,0.05,0.1,0.05,,,,,,,78.36,,,,,,,,,,,48,417,240,541,406,,,380,,,,,,1.8,,,,,,,,,,294,,,,,,,,,,,,,,,,,,9.42,15,Authigenic concretions,oxide,oxide,"Clearwater Lake, Sudbury, Canada",,"whole rock XRD, EDS","silty sediments, ellipsoidal with sand grain as nucleus"
405,BCG-D,5.73,,4.55,62.62,,43.8,4.18,3.24,0.17,0.15,0.27,0.12,0.07,,,,,,,77.87,,,,,,,,,,,59,233,132,387,355,,,286,,,,,,0.9,,,,,,,,,,198,,,,,,,,,,,,,,,,,,13.52,15,Authigenic concretions,oxide,oxide,"Clearwater Lake, Sudbury, Canada",,"whole rock XRD, EDS","silty sediments, circular with pebble as nucleus"
406,BCG-F,6.57,,4.35,64.38,,45.03,3.38,2.62,0.12,0.15,0.07,0.13,0.09,,,,,,,79.24,,,,,,,,,,,63,206,89,353,220,,,260,,,,,,0.9,,,,,,,,,,205,,,,,,,,,,,,,,,,,,17.19,15,Authigenic concretions,oxide,oxide,"Clearwater Lake, Sudbury, Canada",,"whole rock XRD, EDS","silty sediments, ellipsoidal with pebble as nucleus"
407,CT-1,,,,29.45,,20.6,21.95,17,3.65,4.34,0.08,0.29,,,,,,,,59.76,,,,,,,,,,,,643,2385,363,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,16,Ferromanganese coating/concretion,oxide,oxide,"Lake Ontaio, Canada",,AAS,Average (n=33)
408,CT-2,,,,,,20,,20.5,1.49,1.82,0.11,,,,,,,,,,,,,,,,,,,,,305,725,90,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,42,,oxide,oxide,,,,Average from K2 (n=11); Associated with gravel and coarse sands
409,"107,779",,0.17,,31.6,,22.1,17.04,13.2,,,0.57,1.2,0.94,0.11,1.1,,,,,52.72,<1,5,,25,,800,,,,2,4,20,10,<5,400,,,,15,,,10,<1,,<5,,,,,,,,,80,,,,20,,,,,,,,,,,,,,1.67,17,"Oxidate Crusts, Large Crusts",oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
410,780,,0.33,,23.16,,16.2,17.04,13.2,,,0.53,1.54,0.53,0.12,1.3,,,,,44.55,30,,60,100,,5000,,,,60,30,40,25,8,1500,5,,,40,60,,10,<1,,<5,,,,,,,,,6000,,,,20,,,,,,,,,,,,,,1.23,17,Oxidate Crusts,oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
411,781,,0.67,,16.44,,11.5,12.91,10,,,0.88,2.2,0.96,0.07,0.8,,,,,34.94,25,5,100,30,,1500,,,,80,40,40,20,5,,20,,,40,60,,<1,<1,,<5,,,,,,,,,30,,,,30,,,,,,,,,,,,,,1.15,17,Oxidate Crusts,oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
412,785,,0.5,,15.87,,11.1,10.33,8,,,0.92,1.93,0.41,0.04,0.5,,,,,30.49,80,5,60,100,,8000,,,,40,30,60,40,20,2000,10,,,30,60,,10,<1,,<5,,,,,,,,,6000,,,,30,,,,,,,,,,,,,,1.39,17,Oxidate Crusts,oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
413,765,,0.17,,55.19,,38.6,9.04,7,,,0.24,0.6,1.42,0.07,0.8,,,,,67.53,3,8,,40,,1500,,,,20,5,25,15,<5,1000,,,,,,,10,<1,,<5,,,,,,,,,200,,,,30,,,,,,,,,,,,,,5.51,17,"Oxidate Crusts, Small",oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
414,783,,0.83,,8.44,,5.9,3.74,2.9,,,1.15,2.55,0.23,0.02,0.4,,,,,17.37,60,<5,100,60,,3000,,,,80,60,30,40,15,3000,25,,,40,100,,<1,<1,,<5,,,,,,,,,8000,,,,30,,,,,,,,,,,,,,2.03,17,"Oxidate Crusts, stony",oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
415,782,,1,,12.15,,8.5,2.97,2.3,,,1.39,2.08,0.34,0.07,0.9,,,,,20.91,30,<5,100,60,,1500,,,,80,40,25,40,15,400,20,,,60,150,,<1,<1,,<5,,,,,,,,,50,,,,40,,,,,,,,,,,,,,3.7,17,Oxidate Crusts,oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
416,784,,0.5,,10.29,,7.2,1.81,1.4,,,1.29,3.51,0.25,0.01,0.3,,,,,17.97,40,,150,60,,2000,,,,100,60,30,20,10,,25,,,40,100,,<1,<1,,<5,,,,,,,,,50,,,,30,,,,,,,,,,,,,,5.14,17,"Oxidate Crusts, Clayey",oxide,oxide,"Windermere+Ullswater, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
417,"107,764",,0.33,,7.58,,5.3,0.52,0.4,,,0.84,2.12,0.46,0.65,8.3,,,,,20.79,30,8,60,25,,800,,,,80,40,20,40,30,1000,20,,,60,100,,3,2,,25,,,,,,,,,600,,,,40,,,,,,,,,,,,,,13.25,17,Surface Muds,,,"Windermere, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
418,761,,0.33,,8.58,,6,0.92,0.71,,,0.7,1.69,0.57,0.97,14.7,,,,,28.46,25,5,40,30,,1000,,,,80,40,25,40,25,600,10,,,60,100,,6,2,,15,,,,,,,,,200,,,,40,,,,,,,,,,,,,,8.45,17,Surface Muds,,,"Windermere, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
419,762,,0.33,,5.15,,3.6,0.08,0.06,,,0.74,1.83,0.46,1.15,12.4,,,,,22.14,25,5,60,25,,600,,,,80,40,25,60,40,600,20,,,60,100,,4,,,20,,,,,,,,,400,,,,60,,,,,,,,,,,,,,60,17,5 cm Muds,,,"Windermere, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
420,763,,0.33,,5.58,,3.9,0.1,0.08,,,0.84,2.11,0.37,1.17,12.2,,,,,22.7,25,5,60,25,,600,,,,80,40,30,60,25,800,20,,,60,100,,3,1,,20,,,,,,,,,400,,,,60,,,,,,,,,,,,,,48.75,17,10 cm muds,,,"Windermere, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
421,773,,0.42,,10.15,,7.1,2.97,2.3,,,1.2,2.17,0.69,0.57,8.7,,,,,26.87,20,8,40,20,,800,,,,80,40,20,25,25,600,10,,,60,60,,6,1,,10,,,,,,,,,600,,,,40,,,,,,,,,,,,,,3.09,17,Surface muds,,,"Windermere, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
422,774,,0.42,,7.72,,5.4,0.46,0.36,,,0.92,2.17,0.66,0.77,8.9,,,,,22.03,25,10,40,20,,600,,,,100,40,25,40,30,800,15,,,80,80,,1,2,,15,,,,,,,,,600,,,,40,,,,,,,,,,,,,,15,17,5 cm muds,,,"Windermere, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
423,775,,0.42,,7.72,,5.4,0.46,0.36,,,0.88,2.19,0.69,0.72,8.1,,,,,21.18,25,8,40,20,,800,,,,80,40,20,30,25,800,15,,,60,80,,2,3,,40,,,,,,,,,800,,,,40,,,,,,,,,,,,,,15,17,10 cm muds,,,"Windermere, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
424,"107,770",,0.42,,11.87,,8.3,1.78,1.38,,,0.8,1.94,0.71,0.82,11.5,,,,,29.83,20,5,40,20,,800,,,,80,40,20,40,30,1000,15,,,40,60,,4,<1,,10,,,,,,,,,300,,,,30,,,,,,,,,,,,,,6.01,17,Surface Muds,,,"Esthwaite, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
425,771,,0.42,,6.86,,4.8,0.1,0.08,,,1.01,2.12,0.44,1.27,10.5,,,,,22.72,20,5,60,20,,800,,,,80,40,20,60,25,1000,20,,,40,200,,<1,1,,15,,,,,,,,,400,,,,40,,,,,,,,,,,,,,60,17,5 cm Muds,,,"Esthwaite, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
426,772,,0.42,,7.58,,5.3,0.25,0.19,,,0.94,2.26,0.37,1.02,8.4,,,,,21.24,25,5,60,25,,800,,,,80,40,20,60,25,600,20,,,40,80,,<1,1,,15,,,,,,,,,600,,,,40,,,,,,,,,,,,,,27.89,17,10 cm muds,,,"Esthwaite, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
427,776,,0.42,,7.29,,5.1,0.08,0.06,,,0.8,2.2,0.71,1.1,11.6,,,,,24.19,25,,40,25,,800,,,,80,60,20,40,40,600,15,,,60,80,,1,,,15,,,,,,,,,600,,,,40,,,,,,,,,,,,,,85,17,Surface muds,,,"Esthwaite, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
428,777,,0.42,,6.29,,4.4,0.04,0.03,,,0.92,2.41,0.69,1.7,11.2,,,,,23.66,20,,60,20,,800,,,,80,80,20,60,25,1000,20,,,80,150,,<1,,,15,,,,,,,,,400,,,,40,,,,,,,,,,,,,,146.67,17,5 cm muds,,,"Esthwaite, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
429,778,,0.42,,6.29,,4.4,0.08,0.06,,,0.74,2.36,0.57,1.17,9.9,,,,,21.53,20,5,40,20,,600,,,,100,60,20,60,25,600,25,,,80,150,,<1,,,20,,,,,,,,,400,,,,40,,,,,,,,,,,,,,73.33,17,10 cm muds,,,"Esthwaite, Scotland",,"whole rock, wet chemistry, arc/flame spectrometry",
430,"107,766",,0.83,,11.15,,7.8,0.46,0.36,,,0.84,1.94,0.34,0.12,0.18,,,,,15.87,30,5,40,30,,800,,,,80,30,20,20,<5,<300,15,,,40,80,,1,2,,<5,,,,,,,,,40,,,,30,,,,,,,,,,,,,,21.67,17,"Glacial Clays, Rusty",,,English Lake District,,"whole rock, wet chemistry, arc/flame spectrometry",
431,768,,0.33,,14.15,,9.9,0.57,0.44,,,0.67,1.75,0.89,0.1,0.13,,,,,18.6,20,8,30,20,,800,,,,60,30,15,20,<5,<300,15,,,40,40,,1,1,,<5,,,,,,,,,30,,,,40,,,,,,,,,,,,,,22.5,17,"Glacial Clays, Greenish",,,English Lake District,,"whole rock, wet chemistry, arc/flame spectrometry",
432,767,,0.42,,4.58,,3.2,0.05,0.04,,,0.67,1.83,0.11,0.07,0.09,,,,,7.83,25,5,40,20,,800,,,,80,40,15,25,15,,20,,,60,150,,<1,<1,,<5,,,,,,,,,80,,,,80,,,,,,,,,,,,,,80,17,"Glacial Clays, White",,,English Lake District,,"whole rock, wet chemistry, arc/flame spectrometry",
433,GS-1,,0.4,,6.65,,4.65,0.19,0.15,,,0.89,2.18,0.53,1.12,10.2,,,,,22.16,25,6,55,20,,700,,,,85,50,30,55,30,800,20,,,65,120,,2,1,,20,,,,,,,,,500,,,,45,,,,,,,,,,,,,,31,17,Reduced muds,,,English Lake District,,"whole rock, wet chemistry, arc/flame spectrometry",
434,GS-2,,0.38,,9.09,,6.36,1.25,0.97,,,0.86,2.02,0.64,0.82,11,,,,,26.08,25,6,45,25,,900,,,,80,45,30,35,30,800,15,,,55,80,,4,1,,15,,,,,,,,,450,,,,40,,,,,,,,,,,,,,6.56,17,Oxidized muds,,,English Lake District,,"whole rock, wet chemistry, arc/flame spectrometry",
435,GS-3,,0.52,,21.59,,15.1,9.36,7.25,,,0.88,1.95,0.64,0.06,0.75,,,,,35.75,35,5,70,60,,2900,,,,60,35,10,25,10,1100,15,,,35,70,,5,<1,,<5,,,,,,,,,2600,,,,30,,,,,,,,,,,,,,2.08,17,Oxidate crusts,,,English Lake District,,"whole rock, wet chemistry, arc/flame spectrometry",
436,75-123A0-7,,,,,,,45.58,35.3,,,,,,,,,,,,45.58,,,,,,1.69,,,,,15,65,77,109,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
437,75-123A7-8,,,,,,,50.36,39,,,,,,,,,,,,50.36,,,,,,2.3,,,,,17,74,88,92,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
438,75-123A8-13,,,,,,,44.93,34.8,,,,,,,,,,,,44.93,,,,,,2.52,,,,,13,79,54,89,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
439,75-123A13-14,,,,,,,48.16,37.3,,,,,,,,,,,,48.16,,,,,,2.14,,,,,21,55,70,125,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
440,75-123A14-18,,,,,,,43.64,33.8,,,,,,,,,,,,43.64,,,,,,2.25,,,,,15,50,58,92,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
441,75-123A18-19,,,,,,,49.58,38.4,,,,,,,,,,,,49.58,,,,,,2.25,,,,,17,52,73,127,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
442,75-123A25-26,,,,,,,51.65,40,,,,,,,,,,,,51.65,,,,,,,,,,,39,102,28,199,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
443,75-123A26-31,,,,,,,50.74,39.3,,,,,,,,,,,,50.74,,,,,,2.07,,,,,21,70,60,89,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
444,75-123A31-32,,,,,,,48.55,37.6,,,,,,,,,,,,48.55,,,,,,2.13,,,,,36,65,101,186,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
445,75-123-B0-7,,,,,,,50.62,39.2,,,,,,,,,,,,50.62,,,,,,1.66,,,,,23,83,113,169,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
446,75-123-B7-8,,,,,,,53.58,41.5,,,,,,,,,,,,53.58,,,,,,2.39,,,,,29,82,90,181,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
447,75-123-B8-13,,,,,,,48.42,37.5,,,,,,,,,,,,48.42,,,,,,2.13,,,,,19,72,57,137,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
448,75-123-B13-14,,,,,,,49.19,38.1,,,,,,,,,,,,49.19,,,,,,1.86,,,,,14,76,68,152,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
449,75-123-B14-20,,,,,,,50.36,39,,,,,,,,,,,,50.36,,,,,,2.67,,,,,14,62,77,127,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
450,75-123-B20-21,,,,,,,51.26,39.7,,,,,,,,,,,,51.26,,,,,,2.67,,,,,11,83,87,227,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
451,75-123-B21-25,,,,,,,52.04,40.3,,,,,,,,,,,,52.04,,,,,,2.35,,,,,18,42,75,129,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
452,75-123-B25-26,,,,,,,48.81,37.8,,,,,,,,,,,,48.81,,,,,,3.06,,,,,9,85,76,198,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
453,75-123-B26-34,,,,,,,48.94,37.9,,,,,,,,,,,,48.94,,,,,,2.22,,,,,31,54,83,176,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
454,75-123-B34-35,,,,,,,48.81,37.8,,,,,,,,,,,,48.81,,,,,,2.46,,,,,16,92,65,152,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
455,75-123-C0-9,,,,,,,63.14,48.9,,,,,,,,,,,,63.14,,,,,,1.93,,,,,18,94,78,112,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
456,75-123-C9-11,,,,,,,57.85,44.8,,,,,,,,,,,,57.85,,,,,,1.83,,,,,30,106,85,146,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
457,75-123-C11-20,,,,,,,57.07,44.2,,,,,,,,,,,,57.07,,,,,,2.09,,,,,30,114,87,92,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
458,75-123-C20-22,,,,,,,51.52,39.9,,,,,,,,,,,,51.52,,,,,,2.43,,,,,33,128,80,128,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,18,Lacustrine nodules,oxide,oxide,"Oneida Lake, New York",,whole rock AAS,
