Number,Sample,SiO2 (%),TiO2,Al2O3,Fe2O3,FeO,Fe,MnO,Mn,MgO,CaO,Na2O,K2O,P2O5,SO3,C,CO2,LOI,H2O,Cl,Total,Li,Be,Rb,Sr,Cs,Ba,B,Br,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Te,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Fe/Mn,Ref,Type,Fe_species,Mn_species,Locality,Age,method,Notes
5210,Ayton_2,46.3,0.87,10.3,,17.2,13.37,0.97,0.75,7.4,8.8,2.13,0.46,,,,,,,,94.43,9.8,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5211,Ayton_2,45.1,0.89,9.2,,18.8,14.61,3.05,2.36,11.8,2.5,2.43,0.45,,,,,,,,94.22,5.7,,,121.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5212,Ayton_2,48.6,1.18,9.3,,17.1,13.29,2.32,1.8,10.5,2.7,2.36,0.5,,,,,,,,94.56,1.6,,,149.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5213,Ayton_2,49.1,0.9,10.8,,19.1,14.85,3.23,2.5,9.8,2.4,2.82,0.59,,,,,,,,98.74,8.1,,46.5,226.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5214,Ayton_2,42.7,0.87,8.2,,20,15.55,3.4,2.63,11.2,4,2.24,0.32,,,,,,,,92.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5215,Mary_Anning_ccam_2851,54,1.02,10,,17.5,13.6,0.15,0.12,9.2,1.3,2.34,1.17,,,,,,,,96.68,15.8,,142,176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5216,Mary_Anning_ccam_2851,54.2,0.96,10,,17.4,13.53,0.15,0.12,8.8,1.4,2.29,1.11,,,,,,,,96.31,14.8,,14.4,211.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5217,Mary_Anning_ccam_2851,53.1,0.88,10.7,,17.7,13.76,0.16,0.12,9.5,1.4,2.32,1.18,,,,,,,,96.94,13.7,,11.7,234.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5218,Mary_Anning_ccam_2851,50.9,0.95,10.5,,18.1,14.07,0.23,0.18,10,1.7,2.4,1.07,,,,,,,,95.85,14.9,,19.2,241.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5219,Mary_Anning_ccam_2851,51.2,1.02,11.1,,18.6,14.46,0.21,0.16,9.9,1.8,2.29,0.96,,,,,,,,97.08,17.3,,17.6,263.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5220,Mary_Anning_ccam_2851,52.5,0.94,10.3,,18.4,14.3,0.16,0.12,9.4,1.7,2.17,0.85,,,,,,,,96.42,12.8,,35.5,163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5221,Mary_Anning_ccam_2851,44.6,0.78,8.6,,16.5,12.83,0.19,0.15,6.4,10.5,1.45,0.5,,,,,,,,89.52,15.7,,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5222,Mary_Anning_ccam_2851,38.9,0.71,6.9,,15.5,12.05,0.2,0.15,5.6,14.1,1.28,0.46,,,,,,,,83.65,16.8,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5223,Mary_Anning_ccam_2851,43.2,0.83,7.6,,17.2,13.37,0.19,0.15,6.5,10.1,1.56,0.68,,,,,,,,87.86,14.6,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5224,Mary_Anning_ccam_2851,48,0.93,10.1,,18.2,14.15,0.19,0.15,8,5.3,2.14,0.85,,,,,,,,93.71,17,,11.8,142.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5225,Ayton_2_dp,42.2,0.79,8.4,,16.9,13.14,3.1,2.4,8.7,8.1,2.34,0.37,,,,,,,,90.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5226,Ayton_2_dp,41.3,0.77,11,,18.7,14.54,4.76,3.69,11.4,3,3.05,0.55,,,,,,,,94.53,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5227,Ayton_2_dp,45.4,0.91,12.4,,15.4,11.97,0.41,0.32,7.3,8.6,2.63,0.53,,,,,,,,93.58,15.2,,35.7,236.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5228,Ayton_2_dp,47.6,0.74,12.9,,17.2,13.37,3.94,3.05,9.5,3.7,3.37,0.66,,,,,,,,99.61,1.2,,,161.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5229,Tom_Molach,52.4,0.89,11.1,,17.2,13.37,0.14,0.11,9.3,2.2,2.14,0.63,,,,,,,,96,9.5,,42.2,271.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5230,Tom_Molach,53.3,0.84,11.5,,16.1,12.51,0.14,0.11,9.1,1.8,2.33,1.1,,,,,,,,96.21,12.2,,76.4,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5231,Tom_Molach,51.3,1.13,10.4,,17,13.21,0.14,0.11,9.1,1.8,2.23,0.73,,,,,,,,93.83,1.6,,,179.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5232,Tom_Molach,51.9,0.88,10.8,,17.5,13.6,0.15,0.12,9.7,1.4,2.33,0.97,,,,,,,,95.63,13.5,,67.9,264.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5233,Tom_Molach,54.6,0.9,9.8,,16.5,12.83,0.13,0.1,8.7,1.6,2.18,0.82,,,,,,,,95.23,1.2,,54.9,165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5234,Tom_Molach,51.6,0.86,10.8,,17.4,13.53,0.14,0.11,8.3,2.2,2.48,0.9,,,,,,,,94.68,11.2,,66.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5235,Tom_Molach,52.6,0.92,10.9,,17.7,13.76,0.15,0.12,9.1,1.6,2.3,0.97,,,,,,,,96.24,12.1,,61.3,346.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5236,Tom_Molach,52.4,0.98,11.7,,17.5,13.6,0.15,0.12,9.1,1.9,2.42,0.91,,,,,,,,97.06,12.6,,61.4,231.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5237,Tom_Molach,51.8,0.92,9.8,,18.1,14.07,0.15,0.12,9.6,1.4,2.21,0.94,,,,,,,,94.92,1.7,,54.4,194.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5238,Tom_Molach,50.9,0.93,10.7,,17.4,13.53,0.15,0.12,8.2,3.5,2.24,0.83,,,,,,,,94.85,11,,58.5,197.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5239,Falkirk_Wheel,54.4,0.8,9.9,,14.9,11.58,0.13,0.1,10.5,1.2,2.09,1.13,,,,,,,,95.05,12.3,,55.3,143.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5240,Falkirk_Wheel,53.5,0.77,9.4,,14.4,11.19,0.13,0.1,11.8,1.4,1.97,0.87,,,,,,,,94.24,9.3,,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5241,Falkirk_Wheel,52.9,0.83,10.3,,16.9,13.14,0.18,0.14,11.2,1.5,2.11,0.84,,,,,,,,96.76,1.5,,4.1,229.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5242,Falkirk_Wheel,51.6,0.84,9.8,,17,13.21,0.21,0.16,11.1,1.6,2.19,0.93,,,,,,,,95.27,1.8,,,194.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5243,Falkirk_Wheel,52.6,0.8,10.1,,16.2,12.59,0.13,0.1,11.6,1.5,2.2,0.71,,,,,,,,95.84,9.1,,46.5,186.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5244,Falkirk_Wheel,44.9,0.79,8.1,,17.6,13.68,3.9,3.02,13.7,1.6,2.36,0.61,,,,,,,,93.56,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5245,Falkirk_Wheel,53.8,0.93,9.2,,15.9,12.36,0.17,0.13,11.4,1.1,2.11,1.05,,,,,,,,95.66,11,,63.9,164.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5246,Falkirk_Wheel,51.2,0.76,12.6,,17.7,13.76,1.29,1,10.2,2.7,2.56,0.49,,,,,,,,99.5,6.9,,,173.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5247,Falkirk_Wheel,39.2,1.14,7.4,,20.3,15.78,5.25,4.07,13.8,1.4,2.2,0.34,,,,,,,,91.03,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5248,Tray,54.1,0.85,11.1,,18.4,14.3,0.14,0.11,7.7,1.6,2.49,1.16,,,,,,,,97.54,11.3,,62.7,145.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5249,Tain,53.2,0.88,11.4,,16.9,13.14,0.14,0.11,10.1,1.8,2.14,0.59,,,,,,,,97.15,1.7,,,226.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5250,Tain,52.7,0.95,11.1,,17.7,13.76,0.18,0.14,9.4,2.2,2.4,0.71,,,,,,,,97.34,9.3,,34.8,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5251,Tain,53.9,1.05,10.4,,17,13.21,0.16,0.12,9.8,1.7,2.47,0.95,,,,,,,,97.43,1.8,,,238.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5252,Tain,49.8,0.84,9.7,,17.5,13.6,2.64,2.04,11.4,1.6,2.4,0.74,,,,,,,,96.62,8.8,,55.7,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5253,Tain,53.6,0.96,10.1,,16.1,12.51,0.14,0.11,10.7,1.5,2.2,0.9,,,,,,,,96.2,1.6,,54.8,143.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5254,Tain,55.4,0.85,10.6,,15.9,12.36,0.14,0.11,8.4,1.6,2.38,1.06,,,,,,,,96.33,1.9,,,156.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
5255,Tain,52.5,0.84,10.2,,16.2,12.59,0.2,0.15,9.9,1.7,2.04,0.77,,,,,,,,94.35,11.5,,56,156.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gale crater, Mars",,,
