Sample,Formation,Pathway
75-123-C20-22,Freshwater,Freshwater
75-123-C22-34,Freshwater,Freshwater
75-123-C34-36,Freshwater,Freshwater
75-123-C36-45,Freshwater,Freshwater
75-123-C45-47,Freshwater,Freshwater
75-123-D0-11,Freshwater,Freshwater
75-123-D11-13,Freshwater,Freshwater
75-123-D13-23,Freshwater,Freshwater
75-123-D23-25,Freshwater,Freshwater
75-123-D25-35,Freshwater,Freshwater
75-123-D35-37,Freshwater,Freshwater
75-123-D37-44,Freshwater,Freshwater
75-123-D44-46,Freshwater,Freshwater
75-123-E0-8,Freshwater,Freshwater
75-123-E8-10,Freshwater,Freshwater
75-123-E20-22,Freshwater,Freshwater
75-123-E22-33,Freshwater,Freshwater
75-123-E33-35,Freshwater,Freshwater
75-123-E35-44,Freshwater,Freshwater
75-123-E44-46,Freshwater,Freshwater
75-123-E46-55,Freshwater,Freshwater
75-123-E55-57,Freshwater,Freshwater
73-123TA10-15,Freshwater,Freshwater
73-123TA15-18,Freshwater,Freshwater
73-123TA18-21,Freshwater,Freshwater
73-123TA21-24,Freshwater,Freshwater
73-123TA24-27,Freshwater,Freshwater
73-123TB0-4,Freshwater,Freshwater
73-123TB4-7,Freshwater,Freshwater
73-123TB7-10,Freshwater,Freshwater
73-123TB10-12,Freshwater,Freshwater
73-123TB12-14,Freshwater,Freshwater
73-123TB14-17,Freshwater,Freshwater
73-123TB17-20,Freshwater,Freshwater
73-123TB20-23,Freshwater,Freshwater
73-123TB23-25,Freshwater,Freshwater
73-123TB25-27,Freshwater,Freshwater
SFN-1,Freshwater,Freshwater
SFN-3,Freshwater,Freshwater
SFN-6,Freshwater,Freshwater
SFN-8,Freshwater,Freshwater
SFN-9,Freshwater,Freshwater
SFN-10,Freshwater,Freshwater
SFN-11,Freshwater,Freshwater
SFNA,Freshwater,Freshwater
SFGS-1,Freshwater,Freshwater
SFGS-3,Freshwater,Freshwater
SFGS-9,Freshwater,Freshwater
SFGS-11,Freshwater,Freshwater
SFGSA,Freshwater,Freshwater
SFLCA,Freshwater,Freshwater
Sta1,Freshwater,Freshwater
Tr36,Freshwater,Freshwater
Tr41,Freshwater,Freshwater
Tr47,Freshwater,Freshwater
Tr54,Freshwater,Freshwater
Tr55,Freshwater,Freshwater
Tr61,Freshwater,Freshwater
Tr69,Freshwater,Freshwater
Tr74,Freshwater,Freshwater
Sta2,Freshwater,Freshwater
Sta3,Freshwater,Freshwater
Sta4,Freshwater,Freshwater
Tr5-1,Freshwater,Freshwater
Tr5-4,Freshwater,Freshwater
Tr5-7,Freshwater,Freshwater
Tr5-10,Freshwater,Freshwater
Sta6,Freshwater,Freshwater
Sta7,Freshwater,Freshwater
Sta8,Freshwater,Freshwater
Tr8-11,Freshwater,Freshwater
Tr8-12,Freshwater,Freshwater
Tr8-13,Freshwater,Freshwater
Tr8-14,Freshwater,Freshwater
Sta9,Freshwater,Freshwater
Sta10,Freshwater,Freshwater
Sta11,Freshwater,Freshwater
Sta12,Freshwater,Freshwater
Sta13,Freshwater,Freshwater
Sta14,Freshwater,Freshwater
Sta15,Freshwater,Freshwater
Sta16,Freshwater,Freshwater
Sta17,Freshwater,Freshwater
Sta18,Freshwater,Freshwater
Sta19,Freshwater,Freshwater
Sta20,Freshwater,Freshwater
Sta21,Freshwater,Freshwater
Sta22,Freshwater,Freshwater
Sta23,Freshwater,Freshwater
Sta24,Freshwater,Freshwater
Tr24-1,Freshwater,Freshwater
Tr24-5,Freshwater,Freshwater
Tr24-99,Freshwater,Freshwater
Tr24-14,Freshwater,Freshwater
Sta25,Freshwater,Freshwater
Sta26,Freshwater,Freshwater
Sta27,Freshwater,Freshwater
Tr27-1,Freshwater,Freshwater
Tr27-2,Freshwater,Freshwater
Tr27-3,Freshwater,Freshwater
Tr27-4,Freshwater,Freshwater
Sta28,Freshwater,Freshwater
Sta29,Freshwater,Freshwater
Sta30,Freshwater,Freshwater
Sta31,Freshwater,Freshwater
Sta32,Freshwater,Freshwater
Sta33,Freshwater,Freshwater
Sta34,Freshwater,Freshwater
Sta35,Freshwater,Freshwater
Sta37,Freshwater,Freshwater
Sta38,Freshwater,Freshwater
Sta39,Freshwater,Freshwater
Sta40,Freshwater,Freshwater
