Number,Sample,Formation,Pathway
356,CPL-9,Freshwater,Freshwater
357,CPL-10,Freshwater,Freshwater
358,CPL-11,Freshwater,Freshwater
359,CPL-12,Freshwater,Freshwater
360,1-Jan,Marine,Diagenetic
361,2-Jan,Marine,Diagenetic
362,19-1,Marine,Diagenetic
363,59-1,Marine,Diagenetic
364,59-3,Marine,Diagenetic
365,62-1,Marine,Diagenetic
366,62-3,Marine,Diagenetic
367,62-6,Marine,Diagenetic
368,63-2,Marine,Diagenetic
369,173-1,Marine,Diagenetic
370,1-Oct,Marine,Diagenetic
371,3-Oct,Marine,Diagenetic
372,59-2,Marine,Diagenetic
373,59-4,Marine,Diagenetic
374,62-2,Marine,Diagenetic
375,62-4,Marine,Diagenetic
376,63-1,Marine,Diagenetic
377,106-1,Marine,Diagenetic
378,156-1,Marine,Diagenetic
379,156-3,Marine,Diagenetic
380,156-4,Marine,Diagenetic
381,2-Oct,Marine,Diagenetic
382,22-2,Marine,Diagenetic
383,106-2,Marine,Diagenetic
384,143-8,Marine,Diagenetic
385,145-1,Marine,Diagenetic
386,145-2,Marine,Diagenetic
387,145-3,Marine,Diagenetic
388,156-2,Marine,Diagenetic
389,177-1,Marine,Diagenetic
390,33-1,Marine,Diagenetic
391,33-2,Marine,Diagenetic
392,33-3,Marine,Diagenetic
393,52-1,Marine,Diagenetic
394,53-1,Marine,Diagenetic
395,62-5,Marine,Diagenetic
396,64-1,Marine,Diagenetic
397,64-2,Marine,Diagenetic
398,64-3,Marine,Diagenetic
399,4-Oct,Marine,Diagenetic
400,108-1,Marine,Diagenetic
401,177-2,Marine,Diagenetic
402,BCG-A,Freshwater,Freshwater
403,BCG-B,Freshwater,Freshwater
404,BCG-C,Freshwater,Freshwater
405,BCG-D,Freshwater,Freshwater
406,BCG-F,Freshwater,Freshwater
407,CT-1,Freshwater,Freshwater
408,CT-2,Freshwater,Freshwater
409,"107,779",Freshwater,Freshwater
410,780,Freshwater,Freshwater
411,781,Freshwater,Freshwater
412,785,Freshwater,Freshwater
413,765,Freshwater,Freshwater
414,783,Freshwater,Freshwater
415,782,Freshwater,Freshwater
416,784,Freshwater,Freshwater
417,"107,764",Freshwater,Freshwater
418,761,Freshwater,Freshwater
419,762,Freshwater,Freshwater
420,763,Freshwater,Freshwater
421,773,Freshwater,Freshwater
422,774,Freshwater,Freshwater
423,775,Freshwater,Freshwater
424,"107,770",Freshwater,Freshwater
425,771,Freshwater,Freshwater
426,772,Freshwater,Freshwater
427,776,Freshwater,Freshwater
428,777,Freshwater,Freshwater
429,778,Freshwater,Freshwater
430,"107,766",Freshwater,Freshwater
431,768,Freshwater,Freshwater
432,767,Freshwater,Freshwater
433,GS-1,Freshwater,Freshwater
434,GS-2,Freshwater,Freshwater
435,GS-3,Freshwater,Freshwater
436,75-123A0-7,Freshwater,Freshwater
437,75-123A7-8,Freshwater,Freshwater
438,75-123A8-13,Freshwater,Freshwater
439,75-123A13-14,Freshwater,Freshwater
440,75-123A14-18,Freshwater,Freshwater
441,75-123A18-19,Freshwater,Freshwater
442,75-123A25-26,Freshwater,Freshwater
443,75-123A26-31,Freshwater,Freshwater
444,75-123A31-32,Freshwater,Freshwater
445,75-123-B0-7,Freshwater,Freshwater
446,75-123-B7-8,Freshwater,Freshwater
447,75-123-B8-13,Freshwater,Freshwater
448,75-123-B13-14,Freshwater,Freshwater
449,75-123-B14-20,Freshwater,Freshwater
450,75-123-B20-21,Freshwater,Freshwater
451,75-123-B21-25,Freshwater,Freshwater
452,75-123-B25-26,Freshwater,Freshwater
453,75-123-B26-34,Freshwater,Freshwater
454,75-123-B34-35,Freshwater,Freshwater
455,75-123-C0-9,Freshwater,Freshwater
456,75-123-C9-11,Freshwater,Freshwater
457,75-123-C11-20,Freshwater,Freshwater
458,75-123-C20-22,Freshwater,Freshwater
459,75-123-C22-34,Freshwater,Freshwater
460,75-123-C34-36,Freshwater,Freshwater
461,75-123-C36-45,Freshwater,Freshwater
462,75-123-C45-47,Freshwater,Freshwater
463,75-123-D0-11,Freshwater,Freshwater
464,75-123-D11-13,Freshwater,Freshwater
465,75-123-D13-23,Freshwater,Freshwater
466,75-123-D23-25,Freshwater,Freshwater
467,75-123-D25-35,Freshwater,Freshwater
468,75-123-D35-37,Freshwater,Freshwater
469,75-123-D37-44,Freshwater,Freshwater
470,75-123-D44-46,Freshwater,Freshwater
471,75-123-E0-8,Freshwater,Freshwater
472,75-123-E8-10,Freshwater,Freshwater
473,75-123-E20-22,Freshwater,Freshwater
474,75-123-E22-33,Freshwater,Freshwater
475,75-123-E33-35,Freshwater,Freshwater
476,75-123-E35-44,Freshwater,Freshwater
477,75-123-E44-46,Freshwater,Freshwater
478,75-123-E46-55,Freshwater,Freshwater
479,75-123-E55-57,Freshwater,Freshwater
480,73-123TA10-15,Freshwater,Freshwater
